iter,time,reward,steps,convergence,policy
665,0.188171,91,11,2.431779674,
666,0.289184,86,16,2.327119914,
667,0.181242,72,30,1.997666808,
668,0.375977,88,14,2.101794435,
669,0.33404,76,26,1.827069388,
670,0.614472,87,15,1.664698796,
671,0.58311,87,15,1.776014274,
672,0.432501,80,22,1.727980036,
673,0.275327,86,16,2.264970228,
674,0.389105,82,20,2.442805829,
675,0.498871,88,14,2.477808284,
676,0.242142,81,21,2.261657765,
677,0.60572,86,16,2.317823124,
678,0.55576,89,13,2.487182229,
679,0.430313,72,30,2.451930662,
680,0.599521,87,15,2.371578499,
681,0.171031,74,28,2.659752185,
682,0.353367,81,21,2.285928301,
683,0.189629,88,14,1.740610206,
684,0.229014,82,20,1.586332237,
685,0.374153,85,17,1.927617756,
686,0.509447,86,16,1.916870465,
687,0.563783,86,16,1.93378675,
688,1.013424,83,19,1.569877289,
689,0.370507,81,21,1.566271292,
690,0.758882,76,26,1.66921825,
691,0.225003,81,21,1.430664858,
692,0.243237,86,16,1.463204501,
693,0.197652,78,24,1.478013667,
694,0.402598,88,14,1.440773255,
695,0.098097,81,21,1.139348879,
696,0.21771,87,15,1.484325009,
697,0.598062,88,14,1.798505617,
698,0.26694,90,12,1.69338916,
699,0.392752,88,14,1.708148817,
700,0.46678,84,18,1.984398311,
701,0.366496,32,21,1.810706212,
702,0.251259,83,19,1.767086608,
703,1.343816,84,18,1.770390461,
704,0.376707,88,14,2.221162105,
705,0.630153,87,15,2.20840043,
706,0.578735,87,15,1.853611614,
707,0.329663,74,28,1.557257425,
708,0.361755,89,13,1.590459812,
709,0.406974,38,15,2.030426532,
710,0.763623,89,13,1.779809426,
711,0.218073,88,14,1.874202839,
712,0.56123,82,20,1.990179078,
713,0.288091,81,21,2.059611457,
714,0.119247,83,19,1.618963271,
715,0.493401,71,31,1.943818388,
716,0.219167,89,13,1.958912715,
717,0.32237,70,32,1.866041143,
718,3.074185,82,20,2.142801511,
719,0.428125,85,17,2.116194198,
720,0.648387,91,11,2.05503302,
721,0.647658,-18,22,1.965850614,
722,0.354096,29,24,2.021404279,
723,0.304501,78,24,2.344633313,
724,0.436513,90,12,2.578117567,
725,0.505801,84,18,2.540343543,
726,0.162644,82,20,2.549681291,
727,0.184524,89,13,2.552301621,
728,0.310701,88,14,2.237892596,
729,0.220262,79,23,1.818422987,
730,0.245424,86,16,1.770979506,
731,0.135293,82,20,2.144587704,
732,0.27715,85,17,2.081502088,
733,0.101014,83,19,1.894066677,
734,0.51674,87,15,1.670160845,
735,0.194006,85,17,1.324571902,
736,0.602438,89,13,1.327736655,
737,0.256729,83,19,1.318329862,
738,0.417185,87,15,1.671664863,
739,0.150245,37,16,1.672254219,
740,0.412079,78,24,1.999991243,
741,0.367954,83,19,1.644501659,
742,0.325652,87,15,1.854607203,
743,0.814677,89,13,2.133837714,
744,0.490484,69,33,2.106044822,
745,0.355555,91,11,2.534770038,
746,0.739919,88,14,2.530622661,
747,0.261834,84,18,2.535161817,
748,0.216615,82,20,2.174945717,
749,0.43323,88,14,2.170125054,
750,0.229379,80,22,2.06744556,
751,0.393846,28,25,2.42844985,
752,0.716945,84,18,2.224259797,
753,0.226462,82,20,1.753092446,
754,0.542632,85,17,1.766284289,
755,0.891259,89,13,1.612004869,
756,0.586393,89,13,1.595443279,
757,0.77201,84,18,1.593318062,
758,0.587852,77,25,1.669386906,
759,0.319453,88,14,1.674610838,
760,0.413174,80,22,1.426625919,
761,0.263658,82,20,1.377861015,
762,0.315806,86,16,1.389566838,
763,0.33331,85,17,1.388621757,
764,0.361754,84,18,1.388873939,
765,0.199476,72,30,1.123602816,
766,0.986438,80,22,1.256096321,
767,1.193936,90,12,1.450202795,
768,0.152068,90,12,1.416378124,
769,0.280069,87,15,1.580639867,
770,0.388011,87,15,1.922287006,
771,0.258918,90,12,1.603536145,
772,0.487931,86,16,1.491276506,
773,0.234484,85,17,1.48712208,
